Staircase.thisTrialN,Staircase.stepSize,Staircase.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,Staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate
0,2,10,18.7351018,19.2925452,19.2925452,19.3108817,19.5941954,right,10,1,1,893.5173306,972024,1,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.0808087
1,2,8,20.3259943,20.8267437,20.8267437,20.8267437,21.127381,left,-8,1,1,895.4468688,972024,1,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.0808087
2,1,6,23.7941631,24.2931648,24.2931648,24.3089126,24.5920012,left,-6,0,0,900.6719152,972024,1,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.0808087
3,1,7,32.4741058,32.9745536,32.9745536,32.9745536,33.2739509,left,-7,1,1,904.8235903,972024,1,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.0808087
4,1,7,45.3042871,45.788624,45.788624,45.8044632,46.1045214,left,-7,0,0,893.5427028,972024,1,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.0808087
5,1,8,46.8376746,47.3374283,47.3374283,47.3374283,47.6373266,right,8,0,0,896.3599106,972024,1,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.0808087
6,1,9,51.2028222,51.7020887,51.7020887,51.7020887,52.0030686,right,9,0,0,892.8775969,972024,1,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.0808087
7,1,10,52.0853987,52.5854281,52.5854281,52.5854281,52.8851033,left,-10,0,0,893.3940415,972024,1,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.0808087
8,1,11,53.4862112,53.9840828,53.9840828,53.9840828,54.2860923,left,-11,0,0,917.1227755,972024,1,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.0808087
9,1,12,78.6127154,79.1132417,79.1132417,79.1132417,79.4296643,right,12,1,1,897.9589395,972024,1,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.0808087
10,1,12,84.5774011,85.0779363,85.0779363,85.0779363,85.377541,left,-12,0,0,897.6429719,972024,1,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.0808087
11,1,13,90.2267513,90.7266421,90.7266421,90.7266421,,left,-13,0,0,892.5448897,972024,1,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.0808087
12,1,14,90.7763478,91.2770581,91.2770581,91.2770581,,right,14,1,1,892.5609161,972024,1,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.0808087
13,1,14,91.360206,91.8591246,91.8591246,91.8591246,92.1590437,right,14,1,1,892.9273749,972024,1,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.0808087
14,1,14,92.2923223,92.792643,92.792643,92.792643,93.0924952,left,-14,0,0,894.2434082,972024,1,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.0808087
15,1,15,94.5417274,95.0424623,95.0424623,95.0424623,95.3420949,right,15,0,0,893.1106842,972024,1,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.0808087
16,1,16,95.6579362,96.1588197,96.1588197,96.1588197,96.4583139,right,16,0,0,893.6760313,972024,1,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.0808087
